"","Plot.Name..Pt...","Date","Species.Name..1.","Species.Name..2.","Species.Name..3.","Species.Name..4.","Species.Name..5.","Species.Name..6.","Species.Name..7.","Species.Name..8.","X..Cover..Species.1.","X..Cover..Species.2.","X..Cover..Species.3.","X..Cover..Species.4.","X..Cover..Species.5.","X..Cover..Species.6.","X..Cover..Species.7.","X..Cover..Species.8."
"61","Knoll Pt. 61","07/06/18","Lonicera japonica","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","30","10","N/A","N/A","N/A","N/A","N/A","N/A"
"62","Knoll Pt. 62","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"63","Knoll Pt. 63","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"64","Knoll Pt. 64","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"65","Knoll Pt. 65","07/10/18","Lonicera japonica","Hedera helix","Toxicodendron radicans ","Smilax rotundifolia","N/A","N/A","N/A","N/A","5","5","10","10","N/A","N/A","N/A","N/A"
"66","Tyrone St. Pt. 1","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"67","Tyrone St. Pt. 2","07/12/18","Rosa Multiflora","Parthenocissus quinquefolia","Turf","Ampelopsis glandulosa","Phytolacca americana","Geum aleppicum","N/A","N/A","30","15","2","25","3","5","N/A","N/A"
"68","Tyrone St. Pt. 3","07/12/18","Lonicera japonica","Rosa multiflora","Celastrus orbiculatus","Ampelopsis glandulosa","Hedera helix","Geum aleppicum","N/A","N/A","20","2","30","30","5","3","N/A","N/A"
"69","Tyrone St. Pt. 4","07/12/18","Lonicera japonica","Hedera helix","Fragaria vesca","Ulmus americana","Celustrus orbiculatus","Ampelopsis glandulosa","N/A","N/A","50","5","3","2","5","5","N/A","N/A"
"70","Tyrone St. Pt. 5","07/12/18","Lonicera japonica","Hedera helix","Carya cordiformis","Ailanthus altissima","Rosa Multiflora","N/A","N/A","N/A","10","5","2","1","2","N/A","N/A","N/A"
"71","Tyrone St. Pt. 6","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"72","Tyrone St. Pt. 7","07/12/18","Viburnum acerifolium","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","N/A","10","5","N/A","N/A","N/A","N/A","N/A","N/A"
"73","Tyrone St. Pt. 8","07/12/18","Ampelopsis glandulosa","Lonicera japonica","Phytolacca americana","Celastrus orbiculatus","N/A","N/A","N/A","N/A","2","5","3","10","N/A","N/A","N/A","N/A"
"74","Tyrone St. Pt. 9","07/12/18","Hedera helix","Viburnum acerifolium","Lonicera japonica","Phytolacca americana","Toxicodendron radicans","Ampelopsis glandulosa","N/A","N/A","5","5","5","3","2","10","N/A","N/A"
"75","Tyrone St. Pt. 10","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"76","Tyrone St. Pt.11","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"77","Primson Ave Pt. 1","07/12/18","Orychophragmus violaceus","Pathenocissus quinquefolia ","Phytolacca americana","Turf","N/A","N/A","N/A","N/A","20","10","10","40","N/A","N/A","N/A","N/A"
"78","Primson Ave Pt. 2","07/11/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"79","Primson Ave Pt. 3","07/11/18","Fallopia japonica","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"80","Primson Ave Pt. 4","07/11/18","Pathenocissus quinquefolia","Hedera helix","Dioscorea polystachya","N/A","N/A","N/A","N/A","N/A","25","15","10","N/A","N/A","N/A","N/A","N/A"
"81","Primson Ave Pt. 5","07/11/18","Hedera helix","Pathenocissus quinquefolia","Lonicera japonica","Glechoma hederacea","N/A","N/A","N/A","N/A","50","10","5","10","N/A","N/A","N/A","N/A"
"82","Primson Ave Pt. 6","07/12/18","Pathenocissus quinquefolia","Toxicodendron radicans","Hedera helix","Lonicera japonica","N/A","N/A","N/A","N/A","15","15","15","5","N/A","N/A","N/A","N/A"
"83","Primson Ave Pt. 7","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"84","Primson Ave Pt. 8","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"85","Primson Ave Pt. 9","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"86"," Leidig Rec Center Pt. 1","07/10/18","Lonicera japonica ","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","15","60","N/A","N/A","N/A","N/A","N/A","N/A"
"87","Leidig Rec Center Pt. 2","07/10/18","Lonicera japonica ","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","70","30","N/A","N/A","N/A","N/A","N/A","N/A"
"88","Leidig Rec Center Pt. 3","07/10/18","Rosa multiflora","Toxicodendron radicans","Hedera Helix","N/A","N/A","N/A","N/A","N/A","80","15","5","N/A","N/A","N/A","N/A","N/A"
"89","Leidig Rec Center Pt. 4","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"90","Leidig Rec Center Pt. 5","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"91","Leidig Rec Center Pt. 6","07/10/18","Polygonum longisetum","Plantago asiatica","Glechoma longituba","Turf","N/A","N/A","N/A","N/A","5","2","3","70","N/A","N/A","N/A","N/A"
"92","Leidig Rec Center Pt. 7","07/10/18","Pathenocissus quinquefolia","Duchesnea indica","Orychophragmus violaceus","Unknown","Polygonum longisetum","Turf","N/A","N/A","5","10","1","2","2","75","N/A","N/A"
"93","Leidig Rec Center Pt. 8","07/10/18","Turf","Glechoma longituba ","Trifolium repens","Plantago asiatica","N/A","N/A","N/A","N/A","40","4","1","15","N/A","N/A","N/A","N/A"
"94","Leidig Rec Center Pt. 9 ","07/10/18","Turf","Orychophragmus violaceus","Polygonum longisetum ","Geum canadense","Toxicodendron radicans","N/A","N/A","N/A","50","25","5","10","5","N/A","N/A","N/A"
"95","Leidig Rec Center Pt. 10","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"96","Leidig Rec Center Pt. 11","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"97","Leidig Rec Center Pt. 12","07/10/18","Lonicera japonica","Hedera helix","Toxicodendron radicans","Akebia quintata","Helianthus tuberosis","Orychophragmus violaceus","N/A","N/A","10","7","3","70","4","6","N/A","N/A"
"98","Leidig Rec Center Pt. 13","07/10/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"99","Leidig Rec Center Pt. 14","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"100","Loyola Northway Pt. 1","07/13/18","Hedera helix","Lonicera japonica","Ailanthus altissima","Alliaria petiolata","N/A","N/A","N/A","N/A","20","15","2","3","N/A","N/A","N/A","N/A"
"101","Loyola Northway Pt. 2","07/13/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"102","Loyola Northway Pt. 3","07/13/18","Lonicera japonica","Parthenocissus quinquefolia","Hedera helix","Arctium lappa","Ampelopsis glanulosa","N/A","N/A","N/A","30","20","20","10","20","N/A","N/A","N/A"
"103","Loyola Northway Pt. 4","07/13/18","Rosa multiflora","Hedera helix","Lonicera japonica","Parthenocissus quinquefolia","N/A","N/A","N/A","N/A","15","25","20","10","N/A","N/A","N/A","N/A"
"104","Loyola Northway Pt. 5","07/13/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"105","Loyola Northway Pt. 6","07/13/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"106","Ken Oak Rd Pt. 1","07/13/18","Hedera helix","Carya cordiformis","Gymnema sylvestre","Turf","N/A","N/A","N/A","N/A","20","5","50","5","N/A","N/A","N/A","N/A"
"107","Ken Oak Rd Pt. 2","07/13/18","Turf","N/A","N/A","N/A","N/A","N/A","N/A","N/A","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"108","Ken Oak Rd Pt. 3","07/13/18","Turf","Trifolium repens","Viola collina","N/A","N/A","N/A","N/A","N/A","70","20","10","N/A","N/A","N/A","N/A","N/A"
"109","Ken Oak Rd Pt. 4","07/13/18","Turf","Trifolium repens","N/A","N/A","N/A","N/A","N/A","N/A","90","10","N/A","N/A","N/A","N/A","N/A","N/A"
"110","Hockley Rd. Pt. 1","07/20/18","Lonicera japonica","Polygonum perfoliata","Parthenocissus quinquefolia","Ampelopsis glandulosa","N/A","N/A","N/A","N/A","10","25","5","10","N/A","N/A","N/A","N/A"
"111","Hockley Rd. Pt. 2","07/20/18","Lonicera japonica","Parthenocissus quinquefolia","N/A","N/A","N/A","N/A","N/A","N/A","70","5","N/A","N/A","N/A","N/A","N/A","N/A"
"112","Hockley Rd. Pt. 3","07/20/18","Polygonum perfoliata","Hedera helix","Betula playphylla","Lonicera japonica","Ampelopsis glanulosa","Celastrus orbiculatus","Moss","N/A","40","20","1","5","10","5","4","N/A"
"113","Hockley Rd. Pt. 4","07/18/18","Parthenocissus quinquefolia","Ampelopsis glandulosa","Lonicera japonica","N/A","N/A","N/A","N/A","N/A","15","5","5","N/A","N/A","N/A","N/A","N/A"
"114","Hockley Rd. Pt. 5","07/18/18","Hedera helix","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"115","Hockley Rd. Pt. 6","07/18/18","Campsis radicans","Lonicera japonica","Verbena officinalis","Toxicodendron radicans","Allaria petiolata","N/A","N/A","N/A","20","30","1","1","8","N/A","N/A","N/A"
"116","Hockley Rd. Pt. 7","07/18/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"117","Hockley Rd. Pt. 8","07/18/18","Smilax rotundifolia","Viburnum acerifolium","Vitis riparia","Parthenocissus quinquefolia","Cotinus coggygria","Phytolacca americana","N/A","N/A","5","20","10","10","5","5","N/A","N/A"
"118","Hockley Rd. Pt. 9","07/20/18","Lonicera japonica","Toxicodendron radicans","N/A","N/A","N/A","N/A","N/A","N/A","14","1","N/A","N/A","N/A","N/A","N/A","N/A"
"119","Hockley Rd. Pt. 10","07/20/18","Rosa multiflora","Lonicera japonica","Parthenocissus quinquefolia","Alliaria petiolata","N/A","N/A","N/A","N/A","3","10","1","1","N/A","N/A","N/A","N/A"
"120","Hockley Rd. Pt. 11","07/20/18","Lonicera japonica","Polygonum perfoliatum","Rosa multiflora","N/A","N/A","N/A","N/A","N/A","40","37","3","N/A","N/A","N/A","N/A","N/A"
"121","Hockley Rd. Pt. 12","07/20/18","Buddleja lindleyana","Toxicodendron radicans","Alliaria petiolata","Lonicera japonica","N/A","N/A","N/A","N/A","55","10","2","3","N/A","N/A","N/A","N/A"
"122","Hockley Rd. Pt. 13","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"123","Hockley Rd. Pt. 14","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"124","Hockley Rd. Pt. 15","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"125","Hockley Rd. Pt. 16","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"126","Hockley Rd. Pt. 17","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"127","Hockley Rd. Pt. 18","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"128","Hockley Rd. Pt. 19","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"129","Hockley Rd. Pt. 20","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"130","Hockley Rd. Pt. 21","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"131","Hockley Rd. Pt. 22","07/20/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"132","Stillmeadow Church Pt. 1","07/12/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"133","Stillmeadow Church Pt. 2","07/27/18","Centella asiatica","Turf","Ampelopsis glandulosa","N/A","N/A","N/A","N/A","N/A","15","60","5","N/A","N/A","N/A","N/A","N/A"
"134","Stillmeadow Church Pt. 3","07/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"135","Stillmeadow Church Pt. 4","07/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"136","Stillmeadow Church Pt. 5","07/27/18","Rosa multiflora","Geum canadense","Centella asiatica","N/A","N/A","N/A","N/A","N/A","50","10","10","N/A","N/A","N/A","N/A","N/A"
"137","Stillmeadow Church Pt. 6","07/27/18","Fraxinus americana","Rosa multiflora","Ampelopsis glandulosa","Phytolacca americana","Hedera helix","N/A","N/A","N/A","30","30","5","20","5","N/A","N/A","N/A"
"138","Stillmeadow Church Pt. 7","07/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"139","Stillmeadow Church Pt. 8","07/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"140","Stillmeadow Church Pt. 9","07/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"141","Stillmeadow Church Pt. 10","07/27/18","Ampelopsis glandulosa","Turf","Hedera helix","Allaria petiolata","N/A","N/A","N/A","N/A","35","5","5","5","N/A","N/A","N/A","N/A"
"142","Stillmeadow Church Pt. 11","07/27/18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"143","Stillmeadow Church Pt. 12","07/27/18","Fraxinus pennsylvanica","Hedera helix","Allaria petiolata","N/A","N/A","N/A","N/A","N/A","5","10","5","N/A","N/A","N/A","N/A","N/A"
