ID,Patch Number,Point Code,Soil Taken,Bulk Density Taken,Depth of O Layer (Punch)(mm),%Ground Cover,% Bare Ground,Depth of A Layer (Punch) (mm),Additional Notes,% Impervious Surface,Date Sampled,Field Techs
,,FENDAL 28,YES,YES,,5,95,,"Canopy is broken, point in the interior of the patch ",,6/28/2019,Caitlin Beckjord
,,FENDAL 41,YES,YES,,90,10,,Grassy pathch with an open canopy due to a dead tree,,7/1/2019,Caitlin Beckjord
,,FENDAL 42,YES,YES,,25,75,,"Site is directly on the edge, lots of dead branches.",,7/1/2019,Caitlin Beckjord
,,FENDAL 53,YES,YES,,5,95,,Lots of fallen trees and smaller yonger trees. Interior of patch.,,7/1/2019,Caitlin Beckjord
,,FENDAL 54,YES,YES,,3,97,,"Flags from another organization present, electrial box near site",,7/1/2019,Caitlin Beckjord
,,FENDAL 56,YES,YES,,10,90,,Near egde and close to houses. Downhill slope from road.,,7/1/2019,Caitlin Beckjord
,,FENDAL 6,YES,YES,,15,85,,At the edge of forest and near a house,,6/28/2019,Caitlin Beckjord
,,FENDAL 61,YES,YES,,7,93,,"Imterior of forest near a fallen tree, Wavy leaf basket grass present",,7/9/2019,Caitlin Beckjord
,,FENDAL 77,YES,YES,,5,95,,Near the edge of the patch ,,7/9/2019,Caitlin Beckjord
,,FENDAL 85,YES,YES,,5,95,,on the edge next to a side street and houses ,,7/9/3019,Caitlin Beckjord
,,FENDAL 88,YES,YES,,10,90,,Near the edge of the patch ,,7/9/2019,Caitlin Beckjord
,,FENDAL 95,YES,YES,,20,80,,On edge of golf course. Lots of young trees with vines. ,,7/10/2019,Caitlin Beckjord
,,HERUN 29,YES,YES,,10,90,80,ON SLOPE NEXT TO PATH,,7/18/2019,Lauren Kurtz
,,HERUN 21,YES,YES,,50,50,70,UP SLOPE FROM PATH,,7/18/2019,Lauren Kurtz
,,HERUN2 10,YES,YES,,90,10,200,,,7/19/2019,Laura Wortman
,,HERUN2 11,YES,YES,,2,98,70,,,7/19/2019,Laura Wortman
,,HERUN2 14,YES,YES,,4,96,,,,7/16/2019,Carol Frimpong
,,HERUN2 15,YES,YES,,3,97,,Bottom of slope,,7/16/2019,Carol Frimpong
,,HERUN2 16,YES,YES,,10,90,,On slope near paved path,,7/18/2019,Carol Frimpong
,,HERUN2 17,YES,YES,,25,75,80,clear path,,7/16/2019,Laura Wortman
,,HERUN2 18,YES,YES,,30,70,,,,7/16/2019,Carol Frimpong
,,HERUN2 19,YES,YES,,50,50,20, brambly and next to a little hill,0,7/18/2019,Jennifer Strakna
,,HERUN2 2,YES,YES,,5,95,150,ON LSIGHT HILL,,7/19/2019,Lauren Kurtz
,,HERUN2 20,YES,YES,,40,60,,Just off dirt path. Near edge,,7/18/2019,Carol Frimpong
,,HERUN2 21,YES,YES,,60,40,,Next to a big hole in the canopy,,7/18/2019,Carol Frimpong
,,HERUN2 22,YES,YES,,30,70,70,,,7/16/2019,Charise Pelan-Maclean
,,HERUN2 23,YES,YES,,50,50,,"Intermediate forest, there is a path, by a sharp incline",,7/16/2019,Carol Frimpong
,,HERUN2 24,YES,YES,,20,80,60,NEAR EDGE OF HILL,,7/18/2019,Lauren Kurtz
,,HERUN2 25,YES,YES,,70,30,60,STORMWATER/SEWAGE STRUCTURE,,7/18/2019,Lauren Kurtz
,,HERUN2 26,YES,YES,,10,90,100,NEAR EDGE; HEAVY RAINFALL NIGHT BEFORE,,7/18/2019,Lauren Kurtz
,,HERUN2 27,YES,YES,,80,20,70,NEAR FOREST EDGE,,7/16/2019,Charise Pelan-Maclean
,,HERUN2 28,YES,YES,,5,95,100,"STEEP SLOPE, ABOVE HIKING PATH",,7/17/2019,Lauren Kurtz
,,HERUN2 29,YES,YES,,2,98,100,CLEAR FLOOR/NEAR BIG BRAMBLE PATCH; YOUNG DEAD TREES/MINIMAL VINES,,7/17/2019,Lauren Kurtz
,,HERUN2 3,YES,YES,,2,98,200,,,7/19/2019,Laura Wortman
,,HERUN2 30,YES,YES,,6,94,125,ON EDGE/NEAR FIELD,,7/17/2019,Lauren Kurtz
,,HERUN2 32,YES,YES,,100,0,150,on edge,,7/16/2019,Laura Wortman
,,HERUN2 33,YES,YES,,30,70,20,lots of mica in the soil.,,7/16/2019,Laura Wortman
,,HERUN2 34,YES,YES,,5,95,100,"SLIGHT SLOPE, NEAR STEEP SLOPE",,7/17/2019,Lauren Kurtz
,,HERUN2 35,YES,YES,,50,50,50,ON EDGE/NEAR FIELD; SLIGHT SLOPE,,7/17/2019,Lauren Kurtz
,,HERUN2 36,YES,YES,,20,80,167.5,ON EDGE/NEAR FIELD; LESS CANOPY; NEAR HIKING PATH,,7/17/2019,Lauren Kurtz
,,HERUN2 37,YES,YES,,2,98,100,ON SLOPE/NEAR PATH; DRAINS INTO SMALL POOL,,7/17/2019,Lauren Kurtz
,,HERUN2 38,YES,YES,,25,75,90,on floodplain,,7/16/2019,Laura Wortman
,,HERUN2 39,YES,YES,,95,5,110,on edge of patch. Lots of poison ivy on trees and ground,,7/16/2019,Laura Wortman
,,HERUN2 4,YES,YES,,5,95,40,,,7/16/2019,Charise Pelan-Maclean
,,HERUN2 40,YES,YES,,100,0,85,on edge. Lots of younger new tree growth,,7/16/2019,Laura Wortman
,,HERUN2 41,YES,YES,,10,90,90,EDGE OF FOREST,,7/16/2019,Charise Pelan-Maclean
,,HERUN2 42,YES,YES,,8,92,110,skunk cabbage. Lots of deer tracks. Lots of mica in the soil,,7/16/2019,Laura Wortman
,,HERUN2 43,YES,YES,,2,98,,Near steep slope,,7/17/2019,Carol Frimpong
,,HERUN2 44,YES,YES,,20,80,170,,,7/17/2019,Lauren Kurtz
,,HERUN2 45,YES,YES,,100,0,140,EDGE OF FOREST,,7/16/2019,Charise Pelan-Maclean
,,HERUN2 46,YES,YES,,15,85,70,VERY BOGGY ,,7/16/2019,Charise Pelan-Maclean
,,HERUN2 48,YES,YES,,0.5,99.5,,Ornamental Mahonia next to flag,,7/17/2019,Carol Frimpong
,,HERUN2 5,YES,YES,,70,30,170,,,7/19/2019,Lauren Kurtz
,,HERUN2 52,YES,YES,,1,99,100,n/a,0,7/19/2019,Jennifer Strakna
,,HERUN2 53,YES,YES,,5,95,180,"next to stream, very sandy, friendly caterpillar at site",0,7/18/2019,Jennifer Strakna
,,HERUN2 54,YES,YES,,90,10,,one big tulip popular. on a slope,,7/18/2019,Carol Frimpong
,,HERUN2 55,YES,YES,,40,60,,sassafras grove,,7/18/2019,Carol Frimpong
,,HERUN2 57,YES,YES,,20,80,50,on edge,0,7/18/2019,Jennifer Strakna
,,HERUN2 58,YES,YES,,80,20,,right on edge,,7/18/2019,Carol Frimpong
,,HERUN2 59,YES,YES,,90,10,80,"slight slope, lots of mosquitos, near edge of patch",0,7/18/2019,Jennifer Strakna
,,HERUN2 6,YES,YES,,1,99,130,SANDY FLOOD PLANE,,7/18/2019,Lauren Kurtz
,,HERUN2 60,YES,YES,,7,93,70,"between paved trail and river, very shady",0,7/18/2019,Jennifer Strakna
,,HERUN2 65,YES,YES,,15,85,,Near edge with fence (chainlink),,7/18/2019,Carol Frimpong
,,HERUN2 66,YES,YES,,90,10,210,,,7/19/2019,Laura Wortman
,,HERUN2 67,YES,YES,,50,50,,On slope,,7/18/2019,Carol Frimpong
,,HERUN2 68,YES,YES,,80,20,50,other side of stream (that looks very clear but sign says there is sewage),,7/16/2019,Laura Wortman
,,HERUN2 69,YES,YES,,100,0,120,no trees present. All grasses,,7/16/2019,Laura Wortman
,,HERUN2 7,YES,YES,,25,75,170,,,7/19/2019,Lauren Kurtz
,,HERUN2 8,YES,YES,,5,95,180,,,7/19/2019,Laura Wortman
,,HERUN3 35,YES,YES,,90,10,70,NEAR SHOT UP CAR,,30-Jul,Charise Pelan-Maclean
,,HERUN3 36,YES,YES,,5,95,80,MIGHT FLOOD WHEN IT RAINS,,30-Jul,Charise Pelan-Maclean
,,HERUN3 44,YES,YES,,30,70,97.5,NEAR DIRT ROAD,,30-Jul,Charise Pelan-Maclean
,,HERUN3 45,YES,YES,,10,90,20,OPEN CANOPY ,,30-Jul,Charise Pelan-Maclean
,,HERUN3 45,YES,YES,,5,95,90,DRAGON FLIES + FROGS NEAR DIRT ROAD,,30-Jul,Charise Pelan-Maclean
,,HERUN3 46,YES,YES,,50,50,95,BROKEN GLASS,,30-Jul,Charise Pelan-Maclean
,,HERUN3 55,YES,YES,,40,60,110,NEXT TO DIRT ROAD,,30-Jul,Charise Pelan-Maclean
,,HERUN3 66,YES,YES,,20,80,90,ABANDONED CAMP SITE,,30-Jul,Charise Pelan-Maclean
,,HERUN3 68,YES,YES,,10,90,110,ON SLOPE,,30-Jul,Charise Pelan-Maclean
,,HERUN3 72,YES,YES,,20,80,,AGGRESSIVE GROUND BEES,,30-Jul,Charise Pelan-Maclean
,,HERUN3 73,YES,YES,,40,60,10,IN EPLINE STREAM,,30-Jul,Charise Pelan-Maclean
,,HERUN3 74,YES,YES,,60,40,70,BETWEEN HILL,,30-Jul,Charise Pelan-Maclean
,,HERUN3 77,YES,YES,,80,20,160,small canopy opening ,,30-Jul,Charise Pelan-Maclean
,,HERUN3 97,YES,YES,,80,20,70,NEXT TO DIRT ROAD,,30-Jul,Charise Pelan-Maclean
,,HOLBRD1 1 ,YES,YES,,3,97,85,"lots of leaf litter, pine trees predominate patch",0,7/26/2019,Jennifer Strakna
,,HOLBRD1 10,YES,YES,,25,75,70,"lots of shrubs, dead groundcover",0,7/26/2019,Jennifer Strakna
,,HOLBRD1 11,YES,YES,,40,60,60,near edge,0,7/26/2019,Jennifer Strakna
,,HOLBRD1 2,YES,YES,,35,65,100,next to concrete path,0,7/26/2019,Jennifer Strakna
,,HOLBRD1 3,YES,YES,,25,75,105,near concrete bridge,0,7/26/2019,Jennifer Strakna
,,HOLBRD1 4,YES,YES,,65,35,130,a lot of very large poison ivy patches,0,7/26/2019,Jennifer Strakna
,,HOLBRD1 7,YES,YES,,15,85,120,on edge,0,7/26/2019,Jennifer Strakna
,,HOLBRD2 12,YES,YES,,45,55,250,"overlooking foul smelling stream, near edge of patch",0,7/26/2019,Jennifer Strakna
,,HOLBRD2 13,YES,YES,,40,60,125,"near foul smelling creek, totally overgrown with vines , tall grasses, small trees",0,7/26/2019,Jennifer Strakna
,,HOLBRD2 17,YES,YES,,60,40,95,right on steep edge of creek,0,7/26/2019,Jennifer Strakna
,,MORPAR 13,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 14,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 16,YES,YES,,100,0,80,border site on edge of forest/field,0,6/24/2019,Jennifer Strakna
,,MORPAR 23,YES,YES,,10,90,95,near forest edge ,0,6/26/2019,Jennifer Strakna
,,MORPAR 24,YES,YES,,100,0,27.5,"big field behind, at forest edge",0,6/26/2019,Jennifer Strakna
,,MORPAR 27,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 28,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 29,YES,YES,,100,0,100,none,0,6/25/2019,Jennifer Strakna
,,MORPAR 30,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 31,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 32,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 35,YES,YES,,25,75,225,near forest edge but in a clearing,0,6/26/2019,Jennifer Strakna
,,MORPAR 36,YES,YES,,15,85,130,"lots of skunk cabbage, sink hole is present, is muddy area",0,6/26/2019,Jennifer Strakna
,,MORPAR 37,YES,YES,,40,60,125,near forest edge in swamplike clearing,0,6/26/2019,Jennifer Strakna
,,MORPAR 38,YES,YES,,20,80,130,"another mud pit, field on other side, close to forest edge",0,6/26/2019,Jennifer Strakna
,,MORPAR 49,YES,YES,,75,25,25,"by stream, some vines and stinging nettle present",0,6/26/2019,Jennifer Strakna
,,MORPAR 50,YES,YES,,80,20,90,"plenty of vines, by stream",0,6/26/2019,Jennifer Strakna
,,MORPAR 52,YES,YES,,75,25,200,"lots of full grown dead trees overtaken by vines, next to stream and railroad tracks",0,6/26/2019,Jennifer Strakna
,,MORPAR 67,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 68,NO,NO,,,,,,,,Charise Pelan-Maclean
,,MORPAR 69,NO,NO,,,,,,,,Charise Pelan-Maclean
,,PATTER 1,YES,YES,,60,40,,,,7/19/2019,Caitlin Beckjord
,,PATTER 2,YES,YES,,10,90,,,,7/19/2019,Caitlin Beckjord
,,PATTER 3,YES,YES,,60,40,,,,7/19/2019,Caitlin Beckjord
,,PATTER 4,YES,YES,,0,100,,On a slope near a walking path and next to a pond,,7/19/2019,Caitlin Beckjord
,,PATTER 5,YES,YES,,5,95,,On a slope near the pond,,7/19/2019,Caitlin Beckjord
,,SHORTL 12,YES,YES,,5,95,95,NEAR CREEK; VINES PROMINENT,,7/24/2019,Lauren Kurtz
,,SHORTL 13,YES,YES,,90,10,,In sun,,7/24/2019,Carol Frimpong
,,SHORTL 14,YES,YES,,3,97,85,NEAR EDGE,,7/24/2019,Lauren Kurtz
,,SHORTL 17,YES,YES,,30,70,,On slope from ridge down to stream,,7/25/2019,Carol Frimpong
,,SHORTL 18,YES,YES,,25,75,,Near wet area downhill,,7/25/2019,Carol Frimpong
,,SHORTL 19,YES,YES,,10,90,,,,7/25/2019,Carol Frimpong
,,SHORTL 2,YES,YES,,50,50,80,,,7/24/2019,Lauren Kurtz
,,SHORTL 23,YES,YES,,25,75,,Heavy vine cover. At the top of a ridge above the stream,,7/25/2019,Carol Frimpong
,,SHORTL 24,YES,YES,,6,94,,Someone came and got water sample. Still right next to stream.,,7/25/2019,Carol Frimpong
,,SHORTL 25,YES,YES,,20,80,,Next to stream. Trash washed to shore.,,7/25/2019,Carol Frimpong
,,SHORTL 26,YES,YES,,40,60,,"Many dead branches on the ground, otherwise fairly open forest floor",,7/25/2019,Carol Frimpong
,,SHORTL 27,YES,YES,,2,98,,"Near edge, several dead but very large beech. vines take over whole canopy",,7/25/2019,Carol Frimpong
,,SHORTL 28,YES,YES,,95,5,,On edge. Next to graveyard with mausoleum ,,7/25/2019,Carol Frimpong
,,SHORTL 33,YES,YES,,20,80,,Next to stream. Behind houses. Near bench/fire pit. Has signs for sewer pipeline,,7/25/2019,Carol Frimpong
,,SHORTL 6,YES,YES,,30,70,90,ON FOREST EDGE/NEXT TO CEMETARY ROAD,,7/24/2019,Lauren Kurtz
,,SHORTL 7,YES,YES,,2,98,65,NEAR EDGE,,7/24/2019,Lauren Kurtz
,,SWAPRK 10,NO,NO,,< 1,< 100,70,"near marshy water lake + path, large amount of almost dead trees",,7/31/2019,Laura Wortman
,,SWAPRK 12,YES,YES,,100,0,100,9 ft grass,,7/31/2019,Laura Wortman
,,SWAPRK 13,NO,NO,,30,70,60,"old, rusty cooler/ ice box. Older, larger dead trees",,7/31/2019,Laura Wortman
,,SWAPRK 14,NO,NO,,0,100,90,,,7/31/2019,Laura Wortman
,,SWAPRK 15,YES,YES,,0,100,200,many dead trees,,7/31/2019,Laura Wortman
