ID,Patch Number,Point Code,Soil Taken,Bulk Density Taken,Depth of O Layer (Punch)(mm),%Ground Cover,% Bare Ground,Depth of A Layer (Punch) (mm),Additonal Notes,% Impervious Surface,Date Sampled,Field Techs
75,11,WG 3,1,1,0,60,0,100,Under a dense cover of vines and bamboo. Very sandy soil- part of the bulk density punch fell out (couldn't get a full punch). Power lines intersecting the canopy.,9999999,11/7/2016,"Alyssa, Laura, Josh"
76,11,WG 4,1,1,0,100,0,200,Many vines in the canopy.  Fair amount of dumping under the vegetation. Mulch mixed into the soil along with brick fragments.,9999999,11/7/2016,"Alyssa, Laura, Josh"
77,11,WG 5,0,0,9999999,70,0,9999999,Plot was located on concrete (thin layer of soil covering the concrete underneath).,9999999,11/7/2016,"Alyssa, Laura, Josh"
78,2,AH 1,1,1,0,18,82,60,,0,,
79,2,AH 2,0,0,9999999,15,85,9999999,,0,,
80,2,AH 3,0,0,9999999,41,59,9999999,,0,,
81,2,AH 4,1,1,0,46,54,120,,0,,
82,2,AH 5,0,0,9999999,32,68,9999999,,0,,
83,2,AH 6,0,0,9999999,36,88,9999999,,0,,
84,2,AH 7,1,1,0,9,63,160,,0,,
85,2,AH 8,1,1,0,12,82,160,,0,,
86,2,AH 9,0,0,9999999,37,82,9999999,,0,,
87,2,AH 10,0,0,9999999,18,84,9999999,,0,,
88,2,AH 11,0,0,9999999,18,89,9999999,,0,,
89,2,AH 12,1,1,0,16,91,95,,0,,
90,2,AH 13,0,0,9999999,11,79,9999999,,0,,
91,2,AH 14,1,1,0,21,10,40,,0,,
92,2,AH 15,0,0,9999999,90,90,9999999,,0,,
93,2,AH 16,0,0,9999999,10,64,9999999,,0,,
94,2,AH 17,0,0,9999999,5,95,9999999,,0,,
95,12,HR 1,1,1,0,41,59,50,,0,,
96,12,HR 2,1,0,0,100,0,35,,0,,
97,12,HR 3,1,0,0,70,30,80,,0,,
98,12,HR 4,1,0,0,9,91,150,,0,,
99,12,HR 5,1,1,0,67,33,110,,0,,
100,12,HR 6,1,0,0,95,5,25,,0,,
101,12,HR 7,1,1,0,29,71,100,,0,,
102,12,HR 8,1,0,0,25,75,150,,0,,
103,12,HR 9,1,0,0,93,7,50,,0,,
104,12,HR 10,1,1,0,25,75,75,,0,,
105,12,HR 11,1,0,0,45,55,55,,0,,
106,12,HR 12,1,1,0,13,87,30,,0,,
107,12,HR 13,0,0,9999999,75,25,9999999,,0,,
108,12,HR 14,1,0,0,40,60,100,,0,,
109,12,HR 15,1,1,5,70,30,5,,0,,
110,12,HR 16,0,0,0,65,35,30,,0,,
111,12,HR 17,1,0,10,20,80,60,,0,,
113,12,HR 18,1,0,0,50,50,85,,0,,
114,12,HR 19,1,0,0,80,20,80,,0,,
115,12,HR 20,1,1,0,85,15,35,,0,,
116,13,ND 1,1,0,0,100,0,170,,0,,
117,13,ND 4,1,0,10,70,30,120,,0,,
118,13,ND 5,1,1,0,100,0,135,,0,,
119,13,ND 7,1,1,10,10,90,30,,0,,
120,13,ND 9,1,1,0,100,0,60,,0,,
121,13,ND 12,1,1,0,98,2,35,,0,,
122,13,ND 13,1,1,10,60,40,30,,0,,
123,13,ND 14,1,1,10,2,98,35,,0,,
124,13,ND 18,1,0,0,100,0,145,,0,,
125,13,ND 19,1,0,9999999,95,5,9999999,,0,,
126,13,ND 22,1,0,0,95,5,145,,0,,
127,13,ND 23,1,0,15,35,65,30,,0,,
128,13,ND 24,1,0,0,95,5,55,,0,,
129,13,ND 25,1,0,9999999,100,0,9999999,,0,,
130,13,ND 28,1,0,0,75,25,80,,0,,
131,13,ND 30,1,1,0,85,15,160,,0,,
132,13,ND 34,1,1,0,80,20,190,,0,,
133,13,ND 37,1,1,0,98,2,55,,0,,
134,13,ND 38,1,1,0,99,1,125,,0,,
135,14,FRIENDS 1,1,1,9999999,40,60,9999999,,0,,
136,14,FRIENDS 2,0,0,9999999,50,50,9999999,,0,,
137,14,FRIENDS 3,0,0,9999999,16,84,9999999,,0,,
138,14,FRIENDS 4,0,0,9999999,75,25,9999999,,0,,
139,14,FRIENDS 5,1,0,0,96,4,70,,0,,
140,14,FRIENDS 6,0,0,9999999,1,99,9999999,,0,,
141,14,FRIENDS 7,1,1,9999999,7,93,9999999,,0,,
142,14,FRIENDS 8,0,0,9999999,9,91,9999999,,0,,
143,14,FRIENDS 9,1,1,9999999,36,64,9999999,,0,,
144,14,FRIENDS 10,1,0,0,100,0,50,,0,,
145,14,FRIENDS 11,1,1,0,55,45,32,,0,,
146,14,FRIENDS 12,1,0,0,81,19,125,,0,,
147,14,FRIENDS 13,1,0,0,80,20,140,,0,,
148,14,FRIENDS 14,1,1,0,98,2,82,,0,,
149,14,FRIENDS 15,1,0,0,90,10,64,,0,,
150,14,FRIENDS 16,1,1,0,44,56,80,,0,,
151,14,FRIENDS 17,1,0,0,55,45,125,,0,,
152,16,JHU 1,0,0,9999999,100,0,9999999,,0,,
153,16,JHU 2,0,0,9999999,100,0,9999999,,0,,
154,16,JHU 3,0,0,9999999,96,4,9999999,,0,,
155,16,JHU 4,0,0,9999999,100,0,9999999,,0,,
156,16,JHU 5,0,0,9999999,100,0,9999999,,0,,
157,16,JHU 6,1,1,0,93,7,110,,5,,
158,16,JHU 7,0,0,9999999,95,5,9999999,,0,,
159,16,JHU 8,0,0,9999999,65,0,9999999,,35,,
160,16,JHU 9,1,1,0,60,40,130,,0,,
161,16,JHU 10,0,0,9999999,100,0,9999999,,0,,
162,16,JHU 11,1,1,0,98,2,140,,0,,
163,16,JHU 12,1,1,0,100,0,220,,0,,
164,16,JHU 13,1,1,0,45,55,50,,0,,
165,16,JHU 14,0,0,9999999,83,17,9999999,,0,,
167,16,JHU 16,0,0,9999999,0,0,9999999,,100,,
168,16,JHU 17,0,0,9999999,78,22,9999999,,0,,
169,16,JHU 18,0,0,9999999,"0,1","99,9",9999999,,0,,
170,16,JHU 19,1,1,0,95,5,65,,0,,
171,16,JHU 20,0,0,9999999,25,75,9999999,,0,,
172,16,JHU 21,0,0,9999999,87,13,9999999,,0,,
173,16,JHU 22,0,0,9999999,43,57,9999999,,0,,
174,16,JHU 23,1,1,0,43,57,95,,0,,
175,16,JHU 24,1,1,0,44,56,320,,0,,
176,16,JHU 25,0,0,9999999,1,99,9999999,,0,,
177,16,JHU 26,1,1,0,12,88,80,,0,,
178,16,JHU 27,0,0,9999999,31,69,9999999,,0,,
179,16,JHU 28,0,0,9999999,68,32,9999999,,0,,
180,16,JHU 29,1,1,0,62,38,75,,0,,
181,16,JHU 30,0,0,9999999,41,59,9999999,,0,,
182,16,JHU 31,0,0,9999999,100,0,9999999,,0,,
183,16,JHU 32,1,1,0,2,98,90,,0,,
184,16,JHU 33,0,0,9999999,50,50,9999999,,0,,
186,16,JHU 35,0,0,9999999,35,65,9999999,,0,,
187,16,JHU 36,0,0,9999999,83,17,9999999,,0,,
189,16,JHU 38,1,1,0,42,58,30,,0,,
190,16,JHU 39,0,0,9999999,100,0,9999999,,0,,
191,16,JHU 40,0,0,9999999,100,0,9999999,,0,,
192,16,JHU 41,1,1,0,70,30,100,,0,,
193,16,JHU 42,0,0,9999999,26,74,9999999,,0,,
194,16,JHU 43,0,0,9999999,0,0,9999999,,100,,
195,16,JHU 44,0,0,9999999,93,7,9999999,,0,,
196,16,JHU 45,1,1,0,68,32,75,,0,,
197,16,JHU 46,1,1,0,60,40,130,,0,,
198,16,JHU 47,0,0,9999999,100,0,9999999,,0,,
199,16,JHU 48,0,0,9999999,58,42,9999999,,0,,
200,16,JHU 49,0,0,9999999,45,55,9999999,,0,,
201,16,JHU 50,1,1,0,100,0,135,,0,,
202,16,JHU 51,0,0,9999999,"0,1","99,9",9999999,,0,,
203,16,JHU 52,0,0,9999999,60,40,9999999,,0,,
204,16,JHU 53,1,1,0,80,20,80,,0,,
205,16,JHU 54,0,0,9999999,100,0,9999999,,0,,
206,16,JHU 55,0,0,9999999,87,13,9999999,,0,,
207,16,JHU 56,1,1,0,84,16,90,,0,,
208,16,JHU 57,0,0,9999999,93,7,9999999,,0,,
209,16,JHU 58,0,0,9999999,"0,1","99,9",9999999,,0,,
210,16,JHU 59,0,0,9999999,0,100,9999999,,0,,
211,16,JHU 60,1,1,0,50,50,125,,0,,
212,16,JHU 61,0,0,9999999,2,98,9999999,,0,,
213,16,JHU 62,1,1,0,45,55,65,,0,,
214,16,JHU 63,0,0,9999999,"0,1","99,9",9999999,,0,,
215,16,JHU 64,0,0,9999999,91,9,9999999,,0,,
216,17,RPCS 1,1,1,0,25,75,125,,0,,
217,17,RPCS 2,0,0,9999999,8,92,9999999,,0,,
218,17,RPCS 3,0,0,9999999,36,64,9999999,,0,,
219,17,RPCS 4,0,0,9999999,8,92,9999999,,0,,
220,17,RPCS 5,0,0,9999999,47,53,9999999,,0,,
221,17,RPCS 6,1,1,0,27,73,190,,0,,
222,17,RPCS 7,0,0,9999999,45,55,9999999,,0,,
223,17,RPCS 8,0,0,9999999,43,57,9999999,,0,,
224,17,RPCS 9,1,1,8,90,10,85,,0,,
225,17,RPCS 10,0,0,9999999,75,24,9999999,,0,,
226,17,RPCS 11,0,0,9999999,56,44,9999999,,0,,
227,17,RPCS 12,0,0,9999999,100,0,9999999,,0,,
228,17,RPCS 13,1,1,0,95,5,125,,0,,
229,17,RPCS 14,0,0,9999999,100,0,9999999,,0,,
230,17,RPCS 15,0,0,9999999,100,0,9999999,,0,,
231,17,RPCS 16,0,0,9999999,95,5,9999999,,0,,
232,17,RPCS 17,1,1,0,91,9,125,,0,,
233,17,RPCS 18,0,0,9999999,40,60,9999999,,0,,
234,17,RPCS 19,0,0,9999999,70,30,9999999,,0,,
235,17,RPCS 20,1,1,0,100,0,130,,0,,
236,17,RPCS 21,0,0,9999999,36,64,9999999,,0,,
237,17,RPCS 22,0,0,9999999,72,28,9999999,,0,,
238,17,RPCS 23,1,1,0,65,35,225,,0,,
239,15,GILMAN 1,1,1,0,97,3,"152,5",,0,,
240,15,GILMAN 2,1,1,0,15,85,235,,0,,
241,15,GILMAN 3,1,0,0,61,39,30,,0,,
242,15,GILMAN 4,1,0,0,4,96,55,,0,,
243,15,GILMAN 5,1,1,"37,5",48,52,50,,0,,
244,15,GILMAN 6,1,0,0,55,45,0,,0,,
245,15,GILMAN 7,1,1,0,25,75,110,,0,,
246,15,GILMAN 8,1,0,0,65,35,75,,0,,
247,15,GILMAN 9,1,0,0,95,5,"112,5",,0,,
248,15,GILMAN 10,1,0,20,5,95,140,,0,,
249,15,GILMAN 11,0,0,9999999,0,0,9999999,,100,,
250,15,GILMAN 12,0,0,9999999,49,51,9999999,,0,,
251,15,GILMAN 13,1,0,0,99,1,0,,0,,
252,15,GILMAN 14,0,0,9999999,60,40,9999999,,0,,
253,15,GILMAN 15,1,1,0,65,35,0,,0,,
254,15,GILMAN 16,0,0,9999999,7,93,9999999,,0,,
255,15,GILMAN 17,0,0,9999999,100,0,9999999,,0,,
256,15,GILMAN 18,1,0,0,100,0,85,,0,,
257,15,GILMAN 19,1,0,0,100,0,25,,0,,
258,15,GILMAN 20,0,0,9999999,1,99,9999999,,0,,
259,15,GILMAN 21,1,1,0,90,10,75,,0,,
260,15,GILMAN 22,1,1,0,100,0,105,,0,,
261,15,GILMAN 23,1,0,0,100,0,140,,0,,
262,15,GILMAN 24,0,0,9999999,85,15,9999999,,0,,
263,18,LOYOLA 2,0,0,9999999,27,73,9999999,,0,,
264,18,LOYOLA 4,1,1,0,31,69,55,,0,,
265,18,LOYOLA 6,0,0,9999999,14,86,9999999,,0,,
266,18,LOYOLA 8,1,1,,38,62,20,,0,,
267,18,LOYOLA 10,1,1,0,2,98,255,,0,,
268,18,LOYOLA 12,1,1,0,6,94,45,,0,,
269,18,LOYOLA 14,0,0,9999999,2,98,9999999,,0,,
270,18,LOYOLA 16,1,1,0,0,100,95,,0,,
271,18,LOYOLA 18,1,1,0,27,73,95,,0,,
272,18,LOYOLA 20,0,0,9999999,1,99,9999999,,0,,
273,18,LOYOLA 22,1,1,0,15,85,65,,0,,
274,18,LOYOLA 24,1,1,0,7,93,145,,0,,
275,18,LOYOLA 26,1,1,0,17,83,175,,0,,
276,18,LOYOLA 30,0,0,9999999,44,56,9999999,,0,,
277,18,LOYOLA 34,1,1,0,80,20,50,,0,,
278,18,LOYOLA 36,1,1,0,29,71,55,,0,,
279,18,LOYOLA 40,0,0,9999999,49,51,9999999,,0,,
280,18,LOYOLA 42,0,0,9999999,100,0,9999999,,0,,
281,18,LOYOLA 52,1,1,0,20,80,315,,0,,
282,18,LOYOLA 56,1,1,0,100,0,70,,0,,
283,18,LOYOLA 58,1,1,0,45,55,150,,0,,
284,18,LOYOLA 60,1,1,0,49,51,950,,0,,
285,18,LOYOLA 62,0,0,9999999,"25,25","74,75",9999999,,0,,
286,18,LOYOLA 64,1,1,0,96,4,0,,0,,
287,18,LOYOLA 54,0,0,9999999,76,24,9999999,,0,,
288,19,SETON 1,0,0,9999999,2,98,9999999,,0,,
289,19,SETON 2,1,1,,1,99,0,,90,,
290,19,SETON 3,0,0,9999999,0,100,9999999,,0,,
291,19,SETON 4,0,0,9999999,29,71,9999999,,0,,
292,19,SETON 5,0,0,9999999,10,90,9999999,,0,,
293,19,SETON 6,1,1,0,6,94,0,,200,,
294,19,SETON 7,0,0,9999999,3,97,9999999,,0,,
295,19,SETON 8,0,0,9999999,0,0,9999999,,100,,
296,19,SETON 9,1,1,0,16,84,0,,150,,
297,19,SETON 10,0,0,9999999,2,98,9999999,,0,,
298,19,SETON 11,0,0,9999999,4,96,9999999,,0,,
299,19,SETON 12,0,0,9999999,1,99,9999999,,0,,
300,19,SETON 13,1,1,0,5,95,0,,15,,
301,19,SETON 14,0,0,9999999,3,97,9999999,,0,,
302,19,SETON 15,1,1,0,0,100,0,,50,,
303,19,SETON 16,0,0,9999999,3,97,9999999,,0,,
304,19,SETON 17,1,1,0,1,99,0,,185,,
305,19,SETON 18,0,0,9999999,4,96,9999999,,0,,
306,19,SETON 19,0,0,9999999,20,80,9999999,,0,,
307,19,SETON 20,1,1,0,5,95,0,,180,,
308,19,SETON 21,0,0,9999999,3,97,9999999,,0,,
309,19,SETON 22,0,0,9999999,2,98,9999999,,0,,
310,19,SETON 23,1,1,0,83,17,0,,40,,
311,19,SETON 24,0,0,9999999,4,96,9999999,,0,,
312,19,SETON 25,0,0,9999999,30,70,9999999,,0,,
313,19,SETON 26,1,1,0,100,0,0,,150,,
314,19,SETON 27,0,0,9999999,46,54,9999999,,0,,
315,19,SETON 28,0,0,9999999,28,72,9999999,,0,,
316,19,SETON 29,1,1,0,6,40,0,,145,,
317,19,SETON 30,0,0,9999999,30,70,9999999,,0,,
318,19,SETON 31,0,0,9999999,8,92,9999999,,0,,
319,20,GS 1,0,0,9999999,84,16,9999999,,0,,
320,20,GS 2,1,1,0,85,15,55,,0,,
321,20,GS 3,0,0,9999999,88,12,9999999,,0,,
322,20,GS 4,0,0,9999999,58,42,9999999,,0,,
323,20,GS 5,1,1,0,90,10,80,,0,,
324,20,GS 6,0,0,9999999,75,25,9999999,,0,,
325,20,GS 7,0,0,9999999,85,15,9999999,,0,,
326,20,GS 8,1,1,0,49,51,60,,0,,
327,20,GS 9,0,0,9999999,8,92,9999999,,0,,
328,20,GS 10,1,1,0,60,40,70,,0,,
329,20,GS 11,0,0,9999999,100,0,9999999,,0,,
330,20,GS 12,0,0,9999999,43,57,9999999,,0,,
331,20,GS 13,0,0,9999999,88,12,9999999,,0,,
332,20,GS 14,1,1,0,100,0,70,,0,,
333,20,GS 15,0,0,9999999,22,78,9999999,,0,,
334,20,GS 16,0,0,9999999,6,94,9999999,,0,,
335,20,GS 17,0,0,9999999,100,0,9999999,,0,,
336,20,GS 18,1,1,9999999,12,88,9999999,,0,,
337,20,GS 19,0,0,9999999,40,60,9999999,,0,,
338,20,GS 20,0,0,9999999,45,55,9999999,,0,,
339,20,GS 21,1,1,0,95,5,65,,0,,
340,20,GS 22,0,0,9999999,62,38,9999999,,0,,
341,20,GS 23,0,0,9999999,100,0,9999999,,0,,
342,20,GS 24,0,0,9999999,100,0,9999999,,0,,
343,20,GS 25,0,0,9999999,100,0,9999999,,0,,
344,20,GS 26,1,1,0,4,96,75,,0,,
345,20,GS 27,0,0,9999999,3,97,9999999,,0,,
346,20,GS 28,1,1,0,100,0,175,,0,,
347,20,GS 29,0,0,9999999,100,0,9999999,,0,,
348,20,GS 30,0,0,9999999,47,53,9999999,,0,,
349,20,GS 31,1,1,9999999,100,0,9999999,,0,,
350,22,SINAI 1,0,0,9999999,2,98,9999999,,0,,
351,22,SINAI 2,0,0,9999999,9,91,9999999,,0,,
352,22,SINAI 3,0,0,9999999,79,21,9999999,,0,,
353,22,SINAI 4,1,1,0,2,98,95,,0,,
354,22,SINAI 5,0,0,9999999,30,70,9999999,,0,,
355,22,SINAI 6,0,0,9999999,2,98,9999999,,0,,
356,22,SINAI 7,1,1,10,1,99,80,,0,,
357,22,SINAI 8,0,0,9999999,48,52,9999999,,0,,
358,22,SINAI 9,1,1,80,1,99,85,,0,,
359,22,SINAI 10,0,0,9999999,26,74,9999999,,0,,
360,22,SINAI 11,0,0,9999999,2,98,9999999,,0,,
361,22,SINAI 12,0,0,9999999,4,96,9999999,,0,,
362,22,SINAI 13,1,1,0,41,59,70,,0,,
363,22,SINAI 14,0,0,9999999,7,93,9999999,,0,,
364,22,SINAI 15,0,0,9999999,2,98,9999999,,0,,
