Plot Name/ Pt. #,Date,Species Name (1),Species Name (2),Species Name (3),Species Name (4),Species Name (5),Species Name (6),Species Name (7),Species Name (8),% Cover (Species 1),% Cover (Species 2),% Cover (Species 3),% Cover (Species 4),% Cover (Species 5),% Cover (Species 6),% Cover (Species 7),% Cover (Species 8),Invasive (Y/N) Species 1,Invasive (Y/N) Species 2,Invasive (Y/N) Species 3,Invasive (Y/N) Species 4,Invasive (Y/N) Species 5,Invasive (Y/N) Species 6,Invasive (Y/N) Species 7,Invasive (Y/N) Species 8,% Invasive Cover,# of Invasive Species
Knoll Pt. 30,06/29/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Knoll Pt. 31,06/29/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Knoll Pt. 32,06/29/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Knoll Pt. 33,06/29/18,Moss,Turf,Lonicera japonica,Acer rubrum,N/A,N/A,N/A,N/A,5,2,2,1,N/A,N/A,N/A,N/A,N,N,Y,N,N/A,N/A,N/A,N/A,2,1
Knoll Pt. 34,07/03/18,Viburnum acerifolium,Sassafras albidum,Morus rubra ,N/A,N/A,N/A,N/A,N/A,55,4,1,N/A,N/A,N/A,N/A,N/A,N,N,N,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 35,07/06/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 36,07/03/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 37,07/06/18,Viburnum dentatum,Robinia pseudoacacia,Carya cordiformis,Hedera helix,Parthenocissus quinquefolia,Fagaria vesca,Lonicera japonica,N/A,5,2,2,15,15,6,15,N/A,N,N,N,Y,N,N,Y,N/A,30,2
Knoll Pt. 38,07/06/18,Turf,Lonicera japonica,Hedera helix,Liriodendron tulipifera,N/A,N/A,N/A,N/A,28,15,10,2,N/A,N/A,N/A,N/A,N,Y,Y,N,N/A,N/A,N/A,N/A,25,2
Knoll Pt. 39,07/06/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 40,07/06/28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 41,07/06/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 42,07/06/18,Polygonum perfoliata,Ampelopsis glandulosa,Cicaea alpina,Ageratina altissima,Hedera helix,Parthenocissus quinquefolia,N/A,N/A,55,10,10,5,5,15,N/A,N/A,Y,N,N,N,Y,N,N/A,N/A,60,2
Knoll Pt. 43,07/06/18,Hedera helix,Parthenocissus quinquefolia,Lindera benzoin,Viburnum acerifolium,Viburnum lentago ,Amelanchier arborea,N/A,N/A,2,1,1,1,8,2,N/A,N/A,Y,N,N,N,N,N,N/A,N/A,2,1
Knoll Pt. 44,07/06/18,Parthenocissus quinquefolia,Fraxinus americana,Carya cordiformis,Acer rubrum,Hedera helix,Lindera benzoin,N/A,N/A,1,1,2,2,5,5,N/A,N/A,N,N,N,N,Y,N,N/A,N/A,5,1
Knoll Pt. 45,07/05/18,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1
Knoll Pt. 46,07/05/18,Viburnum acerifolium,Lonicera japonica,Rubus trianthus,N/A,N/A,N/A,N/A,N/A,5,1,4,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,5,2
Knoll Pt. 47,07/03/18,Parthenocissus quinquefolia,Viburnum acerifolium,Gleditsia triacanthos,Fraxinus americana,Amelanchier arborea,N/A,N/A,N/A,4,3,1,1,1,N/A,N/A,N/A,N,N,N,N,N,N/A,N/A,N/A,0,0
Knoll Pt. 48,06/29/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 49,07/06/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 50,07/06/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 51,07/06/18,Hedera helix,Viburnum acerifolium,Smilax rotundifolia,Sassafras albidum,N/A,N/A,N/A,N/A,5,1,3,1,N/A,N/A,N/A,N/A,Y,N,N,N,N/A,N/A,N/A,N/A,5,1
Knoll Pt. 52,07/06/18,Smilax rotundifolia,Hedera helix,Lonicera japonica,Turf,Prunus avium,N/A,N/A,N/A,5,10,5,5,5,N/A,N/A,N/A,N,Y,Y,N,Y,N/A,N/A,N/A,20,3
Knoll Pt. 53,07/06/18,Moss,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 54,07/10/18,Hedera helix,Lonicera japonica,Allaria petiolata,N/A,N/A,N/A,N/A,N/A,5,20,50,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,75,3
Knoll Pt. 55,07/10/18,Hedera helix,Parthenocissus quinquefolia,Lonicera japonica,Toxicodendron radicans,N/A,N/A,N/A,N/A,15,5,10,10,N/A,N/A,N/A,N/A,Y,N,Y,N,N/A,N/A,N/A,N/A,25,2
Knoll Pt. 56,07/10/18,Toxicodendron radicans,Turf,N/A,N/A,N/A,N/A,N/A,N/A,10,35,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 57,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 58,07/10/18,Osmunda japonica,Osmundastrum cinnamomeum,Parthenocissus quinquefolia,Toxicodendron radicans,N/A,N/A,N/A,N/A,5,1,5,1,N/A,N/A,N/A,N/A,Y,N,N,N,N/A,N/A,N/A,N/A,5,1
Knoll Pt. 59,07/10/18,Lonicera japonica,Smilax rotundifolia,Hedera helix,Carya cordiformis,N/A,N/A,N/A,N/A,20,15,15,5,N/A,N/A,N/A,N/A,Y,N,Y,N,N/A,N/A,N/A,N/A,35,2
Knoll Pt. 60,07/10/18,Smilax rotundifolia,Hedera helix,Fraxinus pennsylvanica,Lonicera japonica,N/A,N/A,N/A,N/A,30,1,1,18,N/A,N/A,N/A,N/A,N,Y,N,Y,N/A,N/A,N/A,N/A,19,2
Knoll Pt. 61,07/06/18,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,30,10,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,40,2
Knoll Pt. 62,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 63,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 64,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 65,07/10/18,Lonicera japonica,Hedera helix,Toxicodendron radicans ,Smilax rotundifolia,N/A,N/A,N/A,N/A,5,5,10,10,N/A,N/A,N/A,N/A,Y,Y,N,N,N/A,N/A,N/A,N/A,10,2
Tyrone St. Pt. 1,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Tyrone St. Pt. 2,07/12/18,Rosa Multiflora,Parthenocissus quinquefolia,Turf,Ampelopsis glandulosa,Phytolacca americana,Geum aleppicum,N/A,N/A,30,15,2,25,3,5,N/A,N/A,Y,N,N,Y,N,N,N/A,N/A,,
Tyrone St. Pt. 3,07/12/18,Lonicera japonica,Rosa multiflora,Celastrus orbiculatus,Ampelopsis glandulosa,Hedera helix,Geum aleppicum,N/A,N/A,20,2,30,30,5,3,N/A,N/A,Y,Y,N,Y,Y,N,N/A,N/A,,
Tyrone St. Pt. 4,07/12/18,Lonicera japonica,Hedera helix,Fragaria vesca,Ulmus americana,Celustrus orbiculatus,Ampelopsis glandulosa,N/A,N/A,50,5,3,2,5,5,N/A,N/A,Y,Y,N,N,Y,Y,N/A,N/A,,
Tyrone St. Pt. 5,07/12/18,Lonicera japonica,Hedera helix,Carya cordiformis,Ailanthus altissima,Rosa Multiflora,N/A,N/A,N/A,10,5,2,1,2,N/A,N/A,N/A,Y,Y,N,Y,Y,N/A,N/A,N/A,,
Tyrone St. Pt. 6,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Tyrone St. Pt. 7,07/12/18,Viburnum acerifolium,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,N/A,10,5,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Tyrone St. Pt. 8,07/12/18,Ampelopsis glandulosa,Lonicera japonica,Phytolacca americana,Celastrus orbiculatus,N/A,N/A,N/A,N/A,2,5,3,10,N/A,N/A,N/A,N/A,Y,Y,N,N,N/A,N/A,N/A,N/A,,
Tyrone St. Pt. 9,07/12/18,Hedera helix,Viburnum acerifolium,Lonicera japonica,Phytolacca americana,Toxicodendron radicans,Ampelopsis glandulosa,N/A,N/A,5,5,5,3,2,10,N/A,N/A,Y,N,Y,N,N,Y,N,N/A,,
Tyrone St. Pt. 10,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Tyrone St. Pt.11,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 1,07/12/18,Orychophragmus violaceus,Pathenocissus quinquefolia ,Phytolacca americana,Turf,N/A,N/A,N/A,N/A,20,10,10,40,N/A,N/A,N/A,N/A,N,N,N,N,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 2,07/11/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 3,07/11/18,Fallopia japonica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 4,07/11/18,Pathenocissus quinquefolia,Hedera helix,Dioscorea polystachya,N/A,N/A,N/A,N/A,N/A,25,15,10,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 5,07/11/18,Hedera helix,Pathenocissus quinquefolia,Lonicera japonica,Glechoma hederacea,N/A,N/A,N/A,N/A,50,10,5,10,N/A,N/A,N/A,N/A,Y,N,Y,Y,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 6,07/12/18,Pathenocissus quinquefolia,Toxicodendron radicans,Hedera helix,Lonicera japonica,N/A,N/A,N/A,N/A,15,15,15,5,N/A,N/A,N/A,N/A,N,N,Y,Y,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 7,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 8,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Primson Ave Pt. 9,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
 Leidig Rec Center Pt. 1,07/10/18,Lonicera japonica ,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,15,60,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 2,07/10/18,Lonicera japonica ,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,70,30,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 3,07/10/18,Rosa multiflora,Toxicodendron radicans,Hedera Helix,N/A,N/A,N/A,N/A,N/A,80,15,5,N/A,N/A,N/A,N/A,N/A,Y,N,Y,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 4,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 5,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 6,07/10/18,Polygonum longisetum,Plantago asiatica,Glechoma longituba,Turf,N/A,N/A,N/A,N/A,5,2,3,70,N/A,N/A,N/A,N/A,Y,Y,Y,N,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 7,07/10/18,Pathenocissus quinquefolia,Duchesnea indica,Orychophragmus violaceus,Unknown,Polygonum longisetum,Turf,N/A,N/A,5,10,1,2,2,75,N/A,N/A,N,Y,N,N/A,Y,N,N/A,N/A,,
Leidig Rec Center Pt. 8,07/10/18,Turf,Glechoma longituba ,Trifolium repens,Plantago asiatica,N/A,N/A,N/A,N/A,40,4,1,15,N/A,N/A,N/A,N/A,N,Y,Y,Y,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 9 ,07/10/18,Turf,Orychophragmus violaceus,Polygonum longisetum ,Geum canadense,Toxicodendron radicans,N/A,N/A,N/A,50,25,5,10,5,N/A,N/A,N/A,N,N,Y,N,N,N/A,N/A,N/A,,
Leidig Rec Center Pt. 10,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 11,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 12,07/10/18,Lonicera japonica,Hedera helix,Toxicodendron radicans,Akebia quintata,Helianthus tuberosis,Orychophragmus violaceus,N/A,N/A,10,7,3,70,4,6,N/A,N/A,Y,Y,N,Y,N,N,N/A,N/A,,
Leidig Rec Center Pt. 13,07/10/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Leidig Rec Center Pt. 14,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Loyola Northway Pt. 1,07/13/18,Hedera helix,Lonicera japonica,Ailanthus altissima,Alliaria petiolata,N/A,N/A,N/A,N/A,20,15,2,3,N/A,N/A,N/A,N/A,Y,Y,Y,Y,N/A,N/A,N/A,N/A,,
Loyola Northway Pt. 2,07/13/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Loyola Northway Pt. 3,07/13/18,Lonicera japonica,Parthenocissus quinquefolia,Hedera helix,Arctium lappa,Ampelopsis glanulosa,N/A,N/A,N/A,30,20,20,10,20,N/A,N/A,N/A,Y,N,Y,Y,Y,N/A,N/A,N/A,,
Loyola Northway Pt. 4,07/13/18,Rosa multiflora,Hedera helix,Lonicera japonica,Parthenocissus quinquefolia,N/A,N/A,N/A,N/A,15,25,20,10,N/A,N/A,N/A,N/A,Y,Y,Y,N,N/A,N/A,N/A,N/A,,
Loyola Northway Pt. 5,07/13/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Loyola Northway Pt. 6,07/13/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Ken Oak Rd Pt. 1,07/13/18,Hedera helix,Carya cordiformis,Gymnema sylvestre,Turf,N/A,N/A,N/A,N/A,20,5,50,5,N/A,N/A,N/A,N/A,Y,N,Y,N,N/A,N/A,N/A,N/A,,
Ken Oak Rd Pt. 2,07/13/18,Turf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Ken Oak Rd Pt. 3,07/13/18,Turf,Trifolium repens,Viola collina,N/A,N/A,N/A,N/A,N/A,70,20,10,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Ken Oak Rd Pt. 4,07/13/18,Turf,Trifolium repens,N/A,N/A,N/A,N/A,N/A,N/A,90,10,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
